model_name,symbol,timeframe,target,variant_id,seq_len,n_features,features_csv
XGB_1d_long_V1,BTCUSDT,1d,long,1,,2,macd|supertrend
XGB_1d_long_V2,BTCUSDT,1d,long,2,,2,macd|ema_20
XGB_1d_long_V3,BTCUSDT,1d,long,3,,2,macd|rsi_14
XGB_1d_long_V4,BTCUSDT,1d,long,4,,4,macd|bb_upper|bb_middle|bb_lower
XGB_1d_long_V5,BTCUSDT,1d,long,5,,3,macd|ema_20|rsi_14
XGB_1d_long_V6,BTCUSDT,1d,long,6,,5,macd|ema_20|bb_upper|bb_middle|bb_lower
XGB_1d_long_V7,BTCUSDT,1d,long,7,,3,macd|supertrend|ema_20
XGB_1d_long_V8,BTCUSDT,1d,long,8,,3,macd|supertrend|rsi_14
XGB_1d_long_V9,BTCUSDT,1d,long,9,,4,macd|supertrend|ema_20|rsi_14
XGB_1d_long_V10,BTCUSDT,1d,long,10,,7,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower
XGB_1d_long_V11,BTCUSDT,1d,long,11,,8,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14
XGB_1d_long_V12,BTCUSDT,1d,long,12,,9,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv
XGB_1d_long_V13,BTCUSDT,1d,long,13,,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed
XGB_1d_long_V14,BTCUSDT,1d,long,14,,20,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2
XGB_1d_long_V15,BTCUSDT,1d,long,15,,36,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below
XGB_1d_short_V1,BTCUSDT,1d,short,1,,2,macd|supertrend
XGB_1d_short_V2,BTCUSDT,1d,short,2,,2,macd|ema_20
XGB_1d_short_V3,BTCUSDT,1d,short,3,,2,macd|rsi_14
XGB_1d_short_V4,BTCUSDT,1d,short,4,,4,macd|bb_upper|bb_middle|bb_lower
XGB_1d_short_V5,BTCUSDT,1d,short,5,,3,macd|ema_20|rsi_14
XGB_1d_short_V6,BTCUSDT,1d,short,6,,5,macd|ema_20|bb_upper|bb_middle|bb_lower
XGB_1d_short_V7,BTCUSDT,1d,short,7,,3,macd|supertrend|ema_20
XGB_1d_short_V8,BTCUSDT,1d,short,8,,3,macd|supertrend|rsi_14
XGB_1d_short_V9,BTCUSDT,1d,short,9,,4,macd|supertrend|ema_20|rsi_14
XGB_1d_short_V10,BTCUSDT,1d,short,10,,7,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower
XGB_1d_short_V11,BTCUSDT,1d,short,11,,8,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14
XGB_1d_short_V12,BTCUSDT,1d,short,12,,9,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv
XGB_1d_short_V13,BTCUSDT,1d,short,13,,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed
XGB_1d_short_V14,BTCUSDT,1d,short,14,,20,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2
XGB_1d_short_V15,BTCUSDT,1d,short,15,,36,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below
XGB_4h_long_V1,BTCUSDT,4h,long,1,,2,macd|supertrend
